#{"t_start": 1775686747.7405581, "env_id": "None"}
r,l,t
-2.32,43,76.866728
2.528,72,76.919744
2.324,6,76.923744
-17.439,150,77.030005
2.377,6,77.035004
-6.745,150,77.142231
1.795,38,77.170433
2.643,7,77.176433
1.116,57,77.217252
2.738,4,77.220252
-1.399,150,77.326746
2.803,4,77.329746
-30.009,21,77.344746
2.169,28,77.365745
2.286,48,77.401745
2.555,35,77.427747
1.189,66,77.476192
-11.235,150,77.585187
2.065,52,77.623602
2.639,33,77.648113
2.464,46,77.68283
2.59,28,77.704829
2.652,6,77.708829
2.008,31,77.731826
2.755,3,77.73483
-5.906,150,77.843436
-2.822,150,78.255241
1.698,101,78.329053
-6.426,61,78.374053
0.061,75,78.42921
-6.003,150,78.535264
-22.62,64,78.581687
2.141,43,78.614188
-1.87,49,78.650227
0.522,51,78.687104
1.365,47,78.723402
1.823,46,78.757402
2.741,5,78.761403
2.237,22,78.777402
1.884,24,78.794787
-19.691,150,78.898213
1.507,44,78.93122
2.555,29,78.952219
2.74,3,78.95522
0.755,60,78.999837
2.161,51,79.037285
1.638,69,79.087495
-4.972,150,79.19688
2.023,44,79.229635
1.366,47,79.264635
2.279,31,79.287491
2.558,51,79.325269
1.817,30,79.348201
0.133,59,79.389562
1.548,43,79.420788
2.427,30,79.443672
-6.539,150,79.550986
2.632,8,79.557102
1.04,51,79.594243
2.589,50,79.631173
1.404,30,79.93261
1.693,43,79.967609
2.593,5,79.972609
2.74,3,79.97561
2.213,30,80.004514
-5.62,150,80.126473
2.394,18,80.139473
2.255,27,80.159473
2.553,22,80.175723
2.569,5,80.178723
-6.373,150,80.288172
1.383,46,80.321591
-16.116,150,80.429208
2.588,7,80.434208
1.616,30,80.456995
1.997,47,80.494509
3.4,85,80.559417
2.113,26,80.578426
-7.666,150,80.688138
-5.911,150,80.805528
2.228,67,80.857364
0.62,51,80.895834
2.071,29,80.917164
1.805,36,80.943164
2.579,24,80.961166
2.566,42,80.992944
1.165,39,81.021445
1.713,37,81.047616
1.788,50,81.084616
2.291,43,81.115803
0.884,68,81.166409
0.695,33,81.190628
0.9,91,81.261337
-7.135,150,81.377933
2.702,31,81.40094
2.294,27,81.421075
1.912,69,81.476834
2.746,6,81.776619
2.48,8,81.784188
-3.066,41,81.822409
2.224,24,81.845616
-5.368,150,81.958978
2.585,8,81.966462
-0.348,42,81.998742
-4.99,150,82.106959
-8.071,150,82.213564
2.163,48,82.248847
2.227,24,82.268349
2.631,7,82.273349
2.223,36,82.301582
1.491,30,82.32484
-12.003,150,82.429738
-6.647,150,82.536784
-11.628,150,82.643869
1.74,33,82.667869
-4.191,150,82.77805
2.76,84,82.839118
3.217,70,82.891706
-6.895,150,82.998836
2.731,34,83.024268
1.758,44,83.056344
-39.635,58,83.098343
-9.861,150,83.206753
-3.746,150,83.570673
1.313,36,83.597673
-7.934,150,83.706877
-10.704,150,83.816375
2.418,33,83.841375
-5.664,150,83.950118
1.91,25,83.968995
1.996,40,83.998994
2.687,46,84.033311
0.221,41,84.063513
2.67,3,84.065513
2.735,16,84.077513
2.613,7,84.082513
1.433,42,84.11306
1.657,41,84.143521
2.576,7,84.148885
2.344,41,84.178885
1.639,101,84.253657
2.633,46,84.287087
1.592,70,84.337649
-11.802,150,84.44436
2.476,51,84.481359
2.507,20,84.496567
2.624,5,84.500566
-7.131,150,84.608276
2.566,56,84.650264
2.433,81,84.709289
2.506,35,84.735289
2.392,48,84.770252
2.407,5,84.774252
2.765,3,84.777252
2.071,33,84.801252
1.26,57,84.841282
1.793,61,84.887046
1.098,43,84.918325
2.489,39,84.947565
0.828,52,84.985566
2.753,7,84.991565
2.578,6,84.995565
2.736,5,84.999566
2.036,56,85.313538
2.584,5,85.317947
1.789,34,85.344203
2.293,43,85.380275
1.057,40,85.41113
2.706,46,85.447259
2.229,29,85.472736
2.59,8,85.48002
0.73,81,85.538387
1.22,37,85.566134
1.978,44,85.598594
1.992,59,85.642089
-4.891,150,85.752227
2.327,48,85.787858
2.19,41,85.817858
1.449,62,85.862867
1.956,34,85.887295
-4.94,150,85.995541
2.048,45,86.02854
1.198,47,86.063757
