#{"t_start": 1775500359.2765203, "env_id": "None"}
r,l,t
-73.585,34,621.602568
-58.405,37,622.085668
-130.385,45,622.580629
-179.735,100,623.774658
-30.89,16,623.964534
-69.285,30,624.296999
-58.695,29,624.620368
-74.53,40,625.036872
-51.43,26,625.276907
-45.22,51,625.825454
-102.0,49,626.322959
-367.835,126,627.71491
-63.715,29,628.0454
-23.63,35,628.454704
-66.19,38,628.835835
-54.27,48,629.322953
-26.905,16,629.482348
-64.85,30,629.841728
-185.02,58,630.404035
-73.31,50,630.933035
-53.665,24,631.176658
-100.635,56,631.767603
-59.165,43,632.182031
-20.995,32,632.506586
-31.15,19,632.703316
-59.59,28,633.056552
-36.635,43,633.545927
-105.595,39,634.019383
-56.8,40,634.522746
-66.43,26,634.879379
-59.3,34,635.290669
-95.725,42,635.702863
-52.85,24,635.951426
-65.115,48,636.508363
-62.55,31,636.839785
-96.83,41,637.273435
-33.295,21,637.475111
-144.165,55,638.051593
-147.7,51,638.580714
-117.55,42,638.995716
-71.38,35,639.435242
-172.43,58,640.291682
-41.85,25,640.691961
-519.975,145,642.784142
-44.16,30,643.165356
-272.94,105,644.285091
